EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10520599,BLUE KNIGHTS MOTORCYCLE CLUB,% DOUGLAS LAMPLUGH,319 N INGLESIDE ST,FAIRHOPE,AL,36532-2923,0,10,3,1000,201402,2,0,0,5,1,202212,0,0,2,0,12,0,0,0,Y42,AL II
10550415,NEW HOPE OUTREACH MINISTRIES,% HILDA HENDERSON,1000 HENDERSON RD NW,HUNTSVILLE,AL,35816-3512,0,3,3,7000,200608,1,10,0,1,1,,0,0,6,0,12,,,,X21,
10552873,MARK HOWARD CEMETERY,% THOMAS HOWARD,306 POPLAR ST,PRATTVILLE,AL,36066-5353,0,13,3,1000,200206,1,0,0,1,1,202212,0,0,2,0,12,0,0,0,Y50,
10553749,TARRANT EDUCATION FOUNDATION,% EVA HOBSON,PO BOX 170745,BIRMINGHAM,AL,35217-0745,0,3,3,1000,200204,1,15,0,1,1,202212,1,0,2,0,12,289,0,0,B112,
10553804,HARRIS BARRETT SCHOOL INC,% C/O MEMPHIS BOSTON,4634 COUNTY ROAD 37,NOTASULGA,AL,36866-3212,0,3,3,2000,200605,1,15,0,1,1,202209,0,0,2,0,9,0,0,0,A80,
10554023,FAIRHOPE CAT COALITION INC,% GLENDA B TURNER,104 ASHTON COURT,FAIRHOPE,AL,36532-0000,0,3,3,1000,200204,1,16,0,1,1,202212,3,3,1,0,12,81277,71215,71215,D20,
10554678,RESTORING HOPE MINISTRIES,% LAWRENCE JACKSON,1424 ROLLING RIDGE CIR,PLEASANT GRV,AL,35127-3530,0,3,3,1700,200209,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10563151,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% ZACKIE CARPENTER WOODROW JR,240 COUNTY ROAD 1285,VINEMONT,AL,35179-6296,1495,19,9,1000,196008,1,0,908907000,5,1,202212,0,0,2,0,12,0,0,0,,2212 CHAPTER
10573502,COMMUNITY EMPOWERMENT DEVELOPMENT INC,% EFFELL WILLIAMS,P O BOX N969,SELMA,AL,36702-0000,0,3,3,1200,200209,1,15,0,1,1,202112,0,0,2,0,12,0,0,0,O50,
10602039,ALABAMA COUNCIL OF ASSOCIATION WORKERS COMPENSATION SELF INSURERS,% RUSSELL DAVIS,PO BOX 241305,MONTGOMERY,AL,36124-1305,0,6,3,1000,200406,2,0,0,5,1,202212,0,0,2,0,12,0,0,0,Y99,
10603338,LIVING WATERS TABERNACLE,% WILLIAMS RICKY,220 BARTON ST,ANDALUSIA,AL,36420-2610,0,3,3,7000,200310,1,10,0,1,1,,0,0,6,0,12,,,,X99,
10603764,GLORIOUS CHANGES CHURCH,% EARL WOOD,PO BOX 83,PHENIX CITY,AL,36868-0083,0,3,3,7000,200306,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10612977,E-MIN GLOBAL MINISTRIES INC,,P O BOX 220,WARRIOR,AL,35180-0000,0,3,3,7000,200308,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,X20,VAUGHN G RANDALL
10614980,HEALING WATERS MINISTRIES,% PAS GARY & MARGARE STALLINGS,2415 CARTERS GIN RD,TONEY,AL,35773-9730,3317,3,9,7000,199112,1,10,0,1,1,,0,0,6,0,12,,,,,
10620454,J BRUCE & ROSE W BEVERIDGE FOUNDATION,% HAMILTON C SMITH,2410 HAND AVENUE,BAY MINETTE,AL,36507-0000,0,3,3,1000,200401,1,4,0,2,1,202212,6,5,0,1,12,4203979,819641,,T22,
10633818,UNITED CHRISTIAN OUTREACH GERMANY INC,% PAUL KIEFFER,3555 WOOLEY RD,MOBILE,AL,36693-5255,0,3,3,1700,200209,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,X20,
10641226,PAUL OUTREACH SERVICES INC,% STEPHANIE ANN PAUL,PO BOX 82,MONTGOMERY,AL,36101-0082,0,3,3,1000,200211,1,16,0,1,1,202212,5,1,2,0,12,520226,1191,1191,P20,
10649656,JOE BEASLEY MEMORIAL FOUNDATION INC,% SARAH BEASLEY SMITH,431 WOODLAND ROAD,BESSEMER,AL,35020-0000,0,3,3,1000,200206,1,15,0,1,1,202212,4,1,2,0,12,247453,3429,3429,A68,
10651075,KINGDOM RESOURCE AND DEVELOPMENT INC,% KINGDOM RESOURCE AND DEVELOPMENT,PO BOX 782,BREWTON,AL,36427-0782,0,3,3,1000,200306,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,J20,
10651449,SERENE LIGHT INC,% JUNE SAMUEL,1216 BIBB ST,TUSKEGEE INST,AL,36088-2354,0,3,3,1000,200209,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,E70,
10665015,SPECIAL NEEDS FOUNDATION OF BLOUNT COUNTY,% JANICE BAKER,121 OAK MEADOW CIR,ONEONTA,AL,35121-1664,0,3,3,1000,200407,1,15,0,1,1,202209,0,0,2,0,9,0,0,0,F11,
10667832,HEALING THE NATIONS,% MICHAEL INGLE,51 GLENDA CIR,SUMITON,AL,35148-3634,0,3,3,7000,200410,1,10,0,1,1,,1,3,6,0,12,,,,X21,
10671566,LITTLE ROCK CHURCH OF ASSEMBLIES OF THE LORD JESUS CHRIST,% MYRTLE STEWARD,9420 ROBINSONVILLE RD,ATMORE,AL,36502-0000,8067,3,9,1000,196007,1,10,1000000,1,1,,0,0,6,0,3,,,,,
10675321,NEW BEGINNINGS MINISTRIES,% OCIE BATTLE JR,1141 ONTARIO ST,BRIGHTON,AL,35020-2300,0,3,3,1700,201909,1,16,0,1,1,202012,0,0,2,0,12,0,0,0,S21,
10680401,HOPE HEALTH CENTER INC,% KARL POYTHRESS TREAS,4614 CARNEGIE AVE,FAIRFIELD,AL,35064-1430,0,3,3,1000,200210,1,15,0,1,1,202206,5,5,1,0,6,677601,659951,657560,E30,
10704661,SAFE HARBOR OUTREACH CENTER INC,% GREG D MELVIN,PO BOX 681904,PRATTVILLE,AL,36068-1904,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,12,,,,,
10718296,OPELIKA HOUSING DEVELOPMENT INC,% AKINOLA POPOOLA,PO BOX 268,OPELIKA,AL,36803-0268,0,3,3,1000,200310,1,16,0,1,1,202206,8,7,1,0,6,24566206,6126841,6126841,L20,
10732063,ST JAMES BAPTIST CHURCH EASTLAKE ALABAMA,% JOHN DANSBY,7309 OPORTO AVE,BIRMINGHAM,AL,35206-5322,0,3,3,7000,200312,1,10,0,1,1,,0,0,6,0,10,,,,X21,
10740252,CIVIL RIGHTS ACTIVIST COMMITTEE,% PAULETTE ROBY,1707 4TH AVE N,BIRMINGHAM,AL,35203-2003,0,3,3,1200,202305,1,16,0,1,1,202212,0,0,2,0,12,0,0,0,A23,
10740806,CHRISTIAN METHODIST EPISCOPAL CHURCH,% REX BELL,1000 GRANT TOWN RD,MUNFORD,AL,36268-0000,8511,3,9,7000,198009,1,10,1002000,5,1,,0,0,6,0,12,,,,,SPRING HILL CME CHURCH
10741308,ALLIANCE OF DIVINE LOVE INC,% REV MARJORIE BERMUDEZ BERNAL,25956 WINTERWOOD DR,MADISON,AL,35756-0000,3054,3,9,7000,197702,1,10,1000000,5,1,,0,0,6,0,12,,,,,01351 CHAPEL
10742029,PATHWAY TO LIFE IN CHRIST MINISTRIES,% MARTHA BONAM,101 PALMER STREET 1,BREWTON,AL,36426-1921,0,3,3,7100,200608,1,10,0,1,1,,0,0,6,0,12,,,,X20,
10760544,WATERFRONT VOLUNTEER FIRE DEPARTMENT INC,% RICHARD ALFIERO,5515 SCOTTSBORO HIGHWAY,SCOTTSBORO,AL,35769-0000,0,3,3,1000,200302,1,15,0,1,1,202212,5,3,2,0,12,552423,38371,38371,M24,
10766792,MOWA CHOCTAW CULTURAL CENTER,% FRAMON WEAVER,1080 RED FOX ROAD WEST,MOUNT VERNON,AL,36560-2629,0,3,3,1000,200303,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,A90,
